question,event_time,session_id,user_id_main,complexity_level,user_intent,business_maturity,learning_path,question_id,has_follow_up_questions,question_count,example_follow_up_question,example_previous_question,has_difficulty,difficulty_type,evidence
hi,2025-04-09 01:05:50.361000,5808058465_71,5808058465,basic,greeting,startup,,124,False,2,hi,hi,False,,
I want to write a new mission statement for my business. How do I know whether it's a good one?,2025-04-15 18:27:17.253000,6853461716_90,6853461716,strategic,decision_making,intermediate,Growing Your Business ,125,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"Hi, my name is Asha. I run an agricultural input retail shop. I've been in business for one and a half years. I sell things like seeds and fertilizer and farm tools. My customers are mostly local farmers. They farm crops like maze and tomatoes. The shop is mostly run by me with help from my younger brother when he's available and when we're busy in the shop so I've never had a mission statement before I'm not quite sure like if I if I amcame up with a mission statement like shop with us we're the best would you say that's a good mission statement?",2025-04-15 18:30:22.049000,6853461716_90,6853461716,strategic,validation,intermediate,"Successful AE operations, Leadership and Entrepreneurship",126,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
I think I want to grow my business as profitability right now we have pretty slim profit merchants just around 2%. I think by the end of this year I'd like to see profit margins of about 8 to 10%. That would be great and I want customers when they come to my shop to feel like we're part of their business too that we're there to help them with their firms that were trustworthy so I don't know how to turn all this into emission statement. Can you help me? Can you suggest a mission statement for my business?,2025-04-15 18:32:25.267000,6853461716_90,6853461716,strategic,decision_making,intermediate,Growing Your Business ,127,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
Wait a second now that mission statement is a little sounds a little too complicated for our target market keep in mind. A lot of these people are low literacy. They may not have the best reading skills so can you give me a mission statement? That's that's not so complicated thanks.,2025-04-15 18:33:54.963000,6853461716_90,6853461716,strategic,clarification,intermediate,"Successful AE operations, Leadership and Entrepreneurship",128,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
Let's discuss ways to wait a second. Let's go back for a second. Should I get? I think I like that mission statement that you suggested the second one should I get some input from others before I make that my final decision?,2025-04-15 18:34:59.833000,6853461716_90,6853461716,strategic,validation,intermediate,"Successful AE operations, Leadership and Entrepreneurship",129,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
I said that I want to grow my business's profit margin. What are a few strategies I could use to do that?,2025-04-15 18:37:14.867000,6853461716_90,6853461716,strategic,decision_making,intermediate,Fundamentals of Retail Management,130,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
We track things like inventory costs and utilities. Rental expenses. What else should I be tracking?,2025-04-15 18:38:49.248000,6853461716_90,6853461716,strategic,decision_making,intermediate,Fundamentals of Retail Management,131,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
I think the supplier the supplier terms are a big challenge for us because we're a small shop. We don't often get the best terms offered to us by the suppliers. What can I do about that? Is there a way to negotiate better terms?,2025-04-15 18:40:01.255000,6853461716_90,6853461716,strategic,problem_solving,intermediate,Producer Organization Essentials,132,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
What do bank loans have to do with dealing with suppliers?,2025-04-15 18:40:51.028000,6853461716_90,6853461716,strategic,clarification,intermediate,Finance and Accounting ,133,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
The terms I find most challenging to negotiate are payment terms. They insist on being paid by us right away whereas they give some of our bigger competitors more leeway when it comes to payment they may not have to pay your 15 or 30 days. How are these credit terms impacting our business operations?,2025-04-15 18:42:56.045000,6853461716_90,6853461716,strategic,problem_solving,intermediate,Fundamentals of Retail Management,134,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"No, I haven't thought about this. How can I convince our suppliers to extend better credit terms to us?",2025-04-15 18:44:14.687000,6853461716_90,6853461716,strategic,problem_solving,intermediate,Producer Organization Essentials,135,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?",2025-04-15 18:45:15.089000,6853461716_90,6853461716,strategic,clarification,intermediate,Finance and Accounting,136,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
Let's go back to my goal of improving our profit margin to say 10% by the end of the calendar year. Is that goal specific enough? Is it a good goal?,2025-04-15 18:46:31.105000,6853461716_90,6853461716,strategic,validation,intermediate,Fundamentals of Retail Management,137,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"If I increase my sales, does that automatically improve my profit margin?",2025-04-15 18:48:19.245000,6853461716_90,6853461716,strategic,clarification,intermediate,Fundamentals of Retail Management,138,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
I think I need to improve my inventory management. I believe I sometimes carry too much of one thing and have stockouts and something else that's popular. What can I do to avoid that?,2025-04-15 18:49:32.540000,6853461716_90,6853461716,strategic,problem_solving,intermediate,Fundamentals of Retail Management,139,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
What's ABC analysis?,2025-04-15 18:50:09.756000,6853461716_90,6853461716,basic,knowledge_seeking,intermediate,,140,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"Yes, please tell me about specific categories of product in a retail context",2025-04-15 18:50:53.123000,6853461716_90,6853461716,implementation,problem_solving,intermediate,"Successful AE operations, Leadership and Entrepreneurship",141,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
Can you give me an example of a category a product from my business?,2025-04-15 18:53:11.104000,6853461716_90,6853461716,implementation,problem_solving,intermediate,Fundamentals of Retail Management,142,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
I'm not procuring anything from farmers. I'm a retail shop. I sell to farmers.,2025-04-15 18:54:03.615000,6853461716_90,6853461716,basic,clarification,intermediate,Fundamentals of Retail Management,143,True,19,"Hi, my name is Asha. I run an agricultural input retail shop...",I want to write a new mission statement for my business. How do I know whether it's a good one?,True,business_type_mismatch,"User states: 'Again, you sound like you're talking about growing from a bank. What does this have to do with negotiating with suppliers? Who supply us products?'"
"I find it hard to plan for inventory. Every planting season, we run out of the most popular seed varieties. How can I avoid that?",2025-04-15 19:20:23.723000,6853461716_91,6853461716,strategic,problem_solving,intermediate,Fundamentals of Retail Management,144,True,3,Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.,"I find it hard to plan for inventory. Every planting season, we run out of the most popular seed varieties. How can I avoid that?",True,business_type_mismatch,User explicitly corrects: 'Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.' and 'Ok. But why would I need to create an annual production plan...I'm not going to create a production plan.'
Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.,2025-04-15 19:21:48.648000,6853461716_91,6853461716,basic,clarification,intermediate,"Successful AE operations, Leadership and Entrepreneurship",145,True,3,Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.,"I find it hard to plan for inventory. Every planting season, we run out of the most popular seed varieties. How can I avoid that?",True,business_type_mismatch,User explicitly corrects: 'Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.' and 'Ok. But why would I need to create an annual production plan...I'm not going to create a production plan.'
Ok. But why would I need to create an annual production plan. Totally agree on having good communications with our customers. But I'm not going to create a production plan.,2025-04-15 19:23:40.738000,6853461716_91,6853461716,strategic,clarification,intermediate,Producer Organization Essentials,146,True,3,Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.,"I find it hard to plan for inventory. Every planting season, we run out of the most popular seed varieties. How can I avoid that?",True,business_type_mismatch,User explicitly corrects: 'Why are you talking about production? We don't produce anything. We sell to farmers. We don't buy from them.' and 'Ok. But why would I need to create an annual production plan...I'm not going to create a production plan.'
blf nini ?,2025-04-15 07:46:06.607000,6909009476_100,6909009476,basic,greeting,startup,,147,True,4,Tunaweza aje kwa ingiza mbinu wa delefu katika shulisetu bila kwa ungeza garama kubwa.,Tunaweza aja kukusanya na kuchambua maoni ya wateja kwa ufanisi ilikuboresha utowaji wahudu mazeta.,False,,
Tunaweza aja kukusanya na kuchambua maoni ya wateja kwa ufanisi ilikuboresha utowaji wahudu mazeta.,2025-04-15 07:58:21.340000,6909009476_100,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,148,True,4,Tunaweza aje kwa ingiza mbinu wa delefu katika shulisetu bila kwa ungeza garama kubwa.,Tunaweza aja kukusanya na kuchambua maoni ya wateja kwa ufanisi ilikuboresha utowaji wahudu mazeta.,False,,
Tunaweza aje kwa ingiza mbinu wa delefu katika shulisetu bila kwa ungeza garama kubwa.,2025-04-15 08:07:29.494000,6909009476_100,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,149,True,4,Tunaweza aje kwa ingiza mbinu wa delefu katika shulisetu bila kwa ungeza garama kubwa.,Tunaweza aja kukusanya na kuchambua maoni ya wateja kwa ufanisi ilikuboresha utowaji wahudu mazeta.,False,,
Ninjia zipi za masoko zinaunesha ufanisi zaidi kwa uzali wa bita za girimu katika kufikia wa lengwa wa biyashara zetu.,2025-04-15 08:11:18.635000,6909009476_100,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,150,True,4,Tunaweza aje kwa ingiza mbinu wa delefu katika shulisetu bila kwa ungeza garama kubwa.,Tunaweza aja kukusanya na kuchambua maoni ya wateja kwa ufanisi ilikuboresha utowaji wahudu mazeta.,False,,
"Ni changa moto zipi, tunapaswa kutarajia, tunapotumia teknolojia mpya katika shurizetu za viyashara na za rajareja na tunaweza kuzishinda vipi.",2025-04-15 12:59:57.098000,6909009476_101,6909009476,strategic,decision_making,advanced,,151,True,2,Tunawezaje kuwandaa mpango thabiti wa kifeza ambao unazingatia mabaliko ya msimu katika mauzo na garamu.,"Ni changa moto zipi, tunapaswa kutarajia, tunapotumia teknolojia mpya katika shurizetu za viyashara na za rajareja na tunaweza kuzishinda vipi.",False,,
Tunawezaje kuwandaa mpango thabiti wa kifeza ambao unazingatia mabaliko ya msimu katika mauzo na garamu.,2025-04-15 13:06:56.484000,6909009476_101,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,152,True,2,Tunawezaje kuwandaa mpango thabiti wa kifeza ambao unazingatia mabaliko ya msimu katika mauzo na garamu.,"Ni changa moto zipi, tunapaswa kutarajia, tunapotumia teknolojia mpya katika shurizetu za viyashara na za rajareja na tunaweza kuzishinda vipi.",False,,
Tunaweza vipi kuendeleza ushirikiano thabiti  na wasambazaji ili kuweza kujaddiliana juu ya masharti borra na kuhakikisha upatikanaji wa bidhaa kwa muda wote ?,2025-04-18 07:10:40.017000,6909009476_102,6909009476,strategic,decision_making,intermediate,Producer Organization Essentials,153,True,2,Ni mbinu gani za mauzo tunaweza kuongeza sehemu yetu ya soko katika mazingira ya ushindani wa biashara ya kilimo ?,Tunaweza vipi kuendeleza ushirikiano thabiti na wasambazaji ili kuweza kujaddiliana juu ya masharti borra na kuhakikisha upatikanaji wa bidhaa kwa muda wote ?,False,,
Ni mbinu gani za mauzo tunaweza kuongeza sehemu yetu ya   soko katika mazingira ya  ushindani wa biashara ya kilimo ?,2025-04-18 07:21:35.193000,6909009476_102,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,154,True,2,Ni mbinu gani za mauzo tunaweza kuongeza sehemu yetu ya soko katika mazingira ya ushindani wa biashara ya kilimo ?,Tunaweza vipi kuendeleza ushirikiano thabiti na wasambazaji ili kuweza kujaddiliana juu ya masharti borra na kuhakikisha upatikanaji wa bidhaa kwa muda wote ?,False,,
Ni zana gani za kidijitali au programu tunapaswa kufikiria ili kuboresha usimamizi wa hesabu na mauzo kwenye biashara zetu za rejareja ?1,2025-04-18 07:42:26.354000,6909009476_103,6909009476,strategic,decision_making,advanced,Growing Your Business ,155,True,3,Tunawezaje kuhakikisha kwamba wafanyakazi wetu wanapata mafunzo endelevu ili kuboresha ujuzi wao katiaka kutoa huduma kwa wateja na maarifa ya bidhaa ?,Ni zana gani za kidijitali au programu tunapaswa kufikiria ili kuboresha usimamizi wa hesabu na mauzo kwenye biashara zetu za rejareja ?1,False,,
Tunawezaje kuhakikisha kwamba wafanyakazi  wetu wanapata mafunzo endelevu ili kuboresha ujuzi wao katiaka kutoa huduma kwa wateja na maarifa ya bidhaa ?,2025-04-18 07:59:44.638000,6909009476_103,6909009476,strategic,decision_making,advanced,,156,True,3,Tunawezaje kuhakikisha kwamba wafanyakazi wetu wanapata mafunzo endelevu ili kuboresha ujuzi wao katiaka kutoa huduma kwa wateja na maarifa ya bidhaa ?,Ni zana gani za kidijitali au programu tunapaswa kufikiria ili kuboresha usimamizi wa hesabu na mauzo kwenye biashara zetu za rejareja ?1,False,,
Ni mikakati gani ya usimamizi wa vihatarishi tunaweza kutekeleza ili kulinda biashara zetu dhidi ya mabadiriko ya soko na changamoto zisizotarajiwa ?,2025-04-18 08:10:33.777000,6909009476_103,6909009476,strategic,decision_making,advanced,,157,True,3,Tunawezaje kuhakikisha kwamba wafanyakazi wetu wanapata mafunzo endelevu ili kuboresha ujuzi wao katiaka kutoa huduma kwa wateja na maarifa ya bidhaa ?,Ni zana gani za kidijitali au programu tunapaswa kufikiria ili kuboresha usimamizi wa hesabu na mauzo kwenye biashara zetu za rejareja ?1,False,,
Mkufunzi,2025-04-10 14:01:18.467000,6909009476_92,6909009476,basic,greeting,startup,,158,False,1,,,False,,
how can I manage stock during the rain season ?,2025-04-11 11:03:52.195000,6909009476_93,6909009476,strategic,problem_solving,intermediate,Fundamentals of Retail Management,159,False,1,,,False,,
what  strategies can we  implement to optimizeourinventory turnover and reduce spoilage ?,2025-04-11 11:25:14.966000,6909009476_94,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,160,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
How can you effectively manage cassh flow to ensure our  business business remains solvent  during peak and off--peak seasons ?,2025-04-11 11:36:55.839000,6909009476_94,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,161,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
what best practices can  we adopt to enhance customer loyalty and retention in our retail operations ?,2025-04-11 11:48:02.546000,6909009476_94,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,162,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
how can  we stay updated on makert trends and customer  preferences to adjust our product offerrings accordingly ?,2025-04-11 11:54:44.178000,6909009476_94,6909009476,strategic,decision_making,intermediate,"Successful AE operations, Leadership and Entrepreneurship",163,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
what methods can we use to analyze and reduce operational expenses without compromising quality,2025-04-11 12:03:53.361000,6909009476_94,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,164,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
How can we develop stronger partnerships with suppliers to negotiate better terms and ensure consistent product availability ?,2025-04-11 12:11:32.984000,6909009476_94,6909009476,strategic,decision_making,intermediate,Producer Organization Essentials,165,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
what sales techniques can  we employ to increase our market share in a competitiive agribusiness environment ?,2025-04-11 12:16:53.431000,6909009476_94,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,166,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
what digital tools or software solutions should we consider for improving our inventory and sales Management ?,2025-04-11 12:29:02.859000,6909009476_94,6909009476,strategic,decision_making,advanced,Fundamentals of Retail Management,167,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
how can we ensure that our staff receives ongoing training to enhance their skills in customer service and product knowledge?,2025-04-11 12:33:52.687000,6909009476_94,6909009476,strategic,decision_making,advanced,Fundamentals of Retail Management,168,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
what risk management strategies can we implement to safeguard our business against market fluctuations and un foreseen challenges ?,2025-04-11 12:36:17.364000,6909009476_94,6909009476,strategic,decision_making,advanced,Fundamentals of Retail Management,169,True,10,How can you effectively manage cassh flow to ensure our business business remains solvent during peak and off--peak seasons ?,what strategies can we implement to optimizeourinventory turnover and reduce spoilage ?,False,,
"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",2025-04-11 15:46:12.093000,6909009476_95,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,170,True,4,"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?","Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",False,,
"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",2025-04-11 15:46:32.035000,6909009476_95,6909009476,strategic,decision_making,intermediate,,171,True,4,"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?","Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",False,,
Tunaweza vipi kudthiti vizuri mzunguko wa fedha ili kuhakikisha biashara yetu inabaki na uwezo wa kulipia katika wa kilele nanmsimu wa chini?,2025-04-11 15:57:45.102000,6909009476_95,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,172,True,4,"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?","Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",False,,
"Je,ni mbinu zipi bora tunaweza kupitisha ili kuimarisha uaminifu na uhifadhi wa wateja katika shughuli zetu za biashara za rejareja ?",2025-04-11 16:12:33.714000,6909009476_95,6909009476,strategic,decision_making,intermediate,"Successful AE operations, Leadership and Entrepreneurship",173,True,4,"Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?","Je,ni mikakati gani tunaweza kutekeleza ili kuboresha mzunguko wa bidhaa zetu na kupunguza upotevu ?",False,,
tunaweza vipi kubaki tukiwa na taarifa zinazoendana na wakatikuhusu mwenendo wa sokona mahitaji ya wateja ili bidhaa kuendana na mahitaji ipasavyo ?,2025-04-11 17:24:39.867000,6909009476_96,6909009476,strategic,decision_making,intermediate,Producer Organization Essentials,174,False,1,,,False,,
Ni mbinu zipi tunaweza kutumia kuchambua na kupunguza gharama za uendeshaji bila kuathiri ubora ?,2025-04-12 07:03:54.413000,6909009476_97,6909009476,strategic,decision_making,intermediate,Fundamentals of Retail Management,175,False,1,,,False,,
pn,2025-04-12 07:44:28.690000,6909009476_98,6909009476,basic,greeting,startup,,176,False,1,,,False,,
MBC 뉴스 이덕영입니다.,2025-04-15 05:10:33.496000,6909009476_99,6909009476,basic,greeting,startup,,177,False,2,MBC 뉴스 이덕영입니다.,MBC 뉴스 이덕영입니다.,False,,
MBC 뉴스 이덕영입니다.,2025-04-15 05:10:51.876000,6909009476_99,6909009476,basic,greeting,startup,,178,False,2,MBC 뉴스 이덕영입니다.,MBC 뉴스 이덕영입니다.,False,,
/support,2025-03-28 16:05:23.296000,7053260377_105,7053260377,basic,greeting,startup ,,179,False,1,,,False,,
